weekday;dia;hora;periodo;demand
Tuesday;15/10/2019;13;30;6
Tuesday;15/10/2019;14;0;4
Tuesday;15/10/2019;14;30;4
Tuesday;15/10/2019;15;0;7
Tuesday;15/10/2019;15;30;3
Tuesday;15/10/2019;16;0;8
Tuesday;15/10/2019;16;30;4
Tuesday;15/10/2019;17;0;1
Tuesday;15/10/2019;17;30;2
Wednesday;16/10/2019;7;0;16
Wednesday;16/10/2019;7;30;15
Wednesday;16/10/2019;8;0;9
Wednesday;16/10/2019;8;30;8
Wednesday;16/10/2019;9;0;10
Wednesday;16/10/2019;9;30;2
Wednesday;16/10/2019;10;0;3
Wednesday;16/10/2019;10;30;2
Wednesday;16/10/2019;11;0;2
Wednesday;16/10/2019;11;30;19
Wednesday;16/10/2019;12;0;35
Wednesday;16/10/2019;12;30;10
Wednesday;16/10/2019;13;0;7
Wednesday;16/10/2019;13;30;6
Wednesday;16/10/2019;14;0;8
Wednesday;16/10/2019;14;30;1
Wednesday;16/10/2019;15;0;4
Wednesday;16/10/2019;15;30;7
Wednesday;16/10/2019;16;0;10
Wednesday;16/10/2019;16;30;5
Wednesday;16/10/2019;17;0;7
Wednesday;16/10/2019;17;30;2
Wednesday;16/10/2019;18;0;1
Wednesday;16/10/2019;18;30;2
Wednesday;16/10/2019;19;0;1
Thursday;17/10/2019;7;0;26
Thursday;17/10/2019;8;0;3
Thursday;17/10/2019;9;0;11
Thursday;17/10/2019;9;30;6
Thursday;17/10/2019;10;0;23
Thursday;17/10/2019;10;30;35
Thursday;17/10/2019;11;0;7
Thursday;17/10/2019;11;30;7
Thursday;17/10/2019;12;0;3
Thursday;17/10/2019;12;30;1
Thursday;17/10/2019;13;0;2
Thursday;17/10/2019;13;30;3
Thursday;17/10/2019;14;0;2
Thursday;17/10/2019;14;30;1
Thursday;17/10/2019;15;30;6
Thursday;17/10/2019;16;0;3
Thursday;17/10/2019;16;30;1
Thursday;17/10/2019;17;0;2
Thursday;17/10/2019;18;0;1
Friday;18/10/2019;7;0;28
Friday;18/10/2019;7;30;4
Friday;18/10/2019;8;0;2
Friday;18/10/2019;8;30;6
Friday;18/10/2019;9;0;4
Friday;18/10/2019;10;0;37
Friday;18/10/2019;10;30;11
Friday;18/10/2019;11;0;5
Friday;18/10/2019;11;30;3
Friday;18/10/2019;12;0;7
Friday;18/10/2019;12;30;5
Friday;18/10/2019;13;0;3
Friday;18/10/2019;13;30;2
Friday;18/10/2019;14;0;4
Friday;18/10/2019;14;30;3
Friday;18/10/2019;15;0;1
Friday;18/10/2019;15;30;4
Friday;18/10/2019;16;30;11
Saturday;19/10/2019;9;30;23
Saturday;19/10/2019;10;0;5
Saturday;19/10/2019;10;30;17
Saturday;19/10/2019;11;0;5
Saturday;19/10/2019;11;30;10
Saturday;19/10/2019;12;0;4
Saturday;19/10/2019;12;30;4
Saturday;19/10/2019;13;0;6
Saturday;19/10/2019;13;30;4
Saturday;19/10/2019;14;0;1
Saturday;19/10/2019;14;30;1
Saturday;19/10/2019;15;30;3
Saturday;19/10/2019;16;0;1
Saturday;19/10/2019;16;30;1
Saturday;19/10/2019;17;0;1
Monday;21/10/2019;7;30;16
Monday;21/10/2019;8;0;9
Monday;21/10/2019;8;30;14
Monday;21/10/2019;9;0;13
Monday;21/10/2019;9;30;25
Monday;21/10/2019;10;0;6
Monday;21/10/2019;10;30;12
Monday;21/10/2019;11;0;6
Monday;21/10/2019;11;30;4
Monday;21/10/2019;12;0;4
Monday;21/10/2019;12;30;7
Monday;21/10/2019;13;0;4
Monday;21/10/2019;13;30;7
Monday;21/10/2019;14;0;2
Monday;21/10/2019;14;30;2
Monday;21/10/2019;15;0;5
Monday;21/10/2019;15;30;1
Monday;21/10/2019;16;30;1
Monday;21/10/2019;17;0;2
Monday;21/10/2019;17;30;2
Tuesday;22/10/2019;7;0;47
Tuesday;22/10/2019;7;30;22
Tuesday;22/10/2019;8;0;28
Tuesday;22/10/2019;8;30;22
Tuesday;22/10/2019;9;0;11
Tuesday;22/10/2019;9;30;9
Tuesday;22/10/2019;10;0;7
Tuesday;22/10/2019;10;30;7
Tuesday;22/10/2019;11;0;13
Tuesday;22/10/2019;11;30;60
Tuesday;22/10/2019;12;0;44
Tuesday;22/10/2019;12;30;24
Tuesday;22/10/2019;13;0;18
Tuesday;22/10/2019;13;30;10
Tuesday;22/10/2019;14;0;15
Tuesday;22/10/2019;14;30;7
Tuesday;22/10/2019;15;0;9
Tuesday;22/10/2019;15;30;9
Tuesday;22/10/2019;16;0;6
Tuesday;22/10/2019;16;30;4
Tuesday;22/10/2019;17;0;2
Wednesday;23/10/2019;7;30;29
Wednesday;23/10/2019;8;0;59
Wednesday;23/10/2019;8;30;17
Wednesday;23/10/2019;9;0;11
Wednesday;23/10/2019;9;30;15
Wednesday;23/10/2019;10;0;6
Wednesday;23/10/2019;10;30;47
Wednesday;23/10/2019;11;0;31
Wednesday;23/10/2019;11;30;38
Wednesday;23/10/2019;12;0;17
Wednesday;23/10/2019;12;30;15
Wednesday;23/10/2019;13;0;11
Wednesday;23/10/2019;13;30;13
Wednesday;23/10/2019;14;0;10
Wednesday;23/10/2019;14;30;4
Wednesday;23/10/2019;15;0;6
Wednesday;23/10/2019;15;30;5
Wednesday;23/10/2019;16;0;6
Wednesday;23/10/2019;17;0;6
Wednesday;23/10/2019;17;30;1
