driver_id,sent_date,lat,lng,weekday,hour
417cb652936ecc94e4212afcebf547f2,2020-03-16 14:00:00,-23.474533081054,-46.523727416992,1.0,14.0
a86724907acca94e49108ccc18841849,2020-03-16 14:00:00,-23.505416870117,-46.549785614013,1.0,14.0
e2139b28068eadb5332bf37d845ee011,2020-03-16 14:05:00,-23.519315719604,-46.510772705078,1.0,14.0
d7a718b537b3cfb6121c4c52cf30ad05,2020-03-16 14:05:00,-23.460048675537,-46.56118774414,1.0,14.0
0e5c42fd3a14cc1138d7296de738073c,2020-03-16 14:05:00,-23.514886856079,-46.538295745849,1.0,14.0
f2e2bebac59ea3c4376ecc05dbc73e7a,2020-03-16 14:05:00,-23.486608505249,-46.553493499755,1.0,14.0
be3d5d976892f7372b49ce04fb689adb,2020-03-16 14:10:00,-23.456892013549,-46.461326599121,1.0,14.0
016a3432421d8db5f205fc4d2b850243,2020-03-16 14:15:00,-23.504325866699,-46.507381439208,1.0,14.0
fd42a1a1da64f5aae6780b50575a7d58,2020-03-16 14:15:00,-23.467864990234,-46.512138366699,1.0,14.0
e7853c3f3eb97ea40f03546744edebd2,2020-03-16 14:15:00,-23.509397506713,-46.545375823974,1.0,14.0
4bae1211d17494816631a231dc28fec1,2020-03-16 14:20:00,-23.510892868041,-46.508914947509,1.0,14.0
e02ee594e8a304b439c1bdcbeb10f78f,2020-03-16 14:20:00,-23.497428894042,-46.466018676757,1.0,14.0
4645773556b47375fc4fa46ce33db586,2020-03-16 14:25:00,-23.509323120117,-46.479431152343,1.0,14.0
daafab2d35a8d38900d5bfc1636f3509,2020-03-16 14:25:00,-23.505544662475,-46.535873413085,1.0,14.0
203bd26614f0cf0a4a3ba833c654f161,2020-03-16 14:25:00,-23.472764968872,-46.495349884033,1.0,14.0
980e71c181db525cce3e4f9fa4c2834d,2020-03-16 14:35:00,-23.512153625488,-46.54536819458,1.0,14.0
53ebfab965114cb08eeaa2d934f42b75,2020-03-16 14:40:00,-23.463346481323,-46.491542816162,1.0,14.0
133d41d52436a6dec9c17fa74f29605a,2020-03-16 14:40:00,-23.453485488891,-46.484947204589,1.0,14.0
62a415ea2b60a33b87aa005cb9c4e9ff,2020-03-16 14:45:00,-23.514352798461,-46.540245056152,1.0,14.0
70e589798eebc235cf897f43f2fcb47d,2020-03-16 14:45:00,-23.478366851806,-46.549499511718,1.0,14.0
c80b105f834d45198defbec225256825,2020-03-16 14:45:00,-23.475271224975,-46.532642364501,1.0,14.0
0ecbd66b20d6907432a21236fa2689d7,2020-03-16 14:55:00,-23.436929702758,-46.558353424072,1.0,14.0
d5ed60cc4f532f1b230065f81e497469,2020-03-16 14:55:00,-23.448328018188,-46.545322418212,1.0,14.0
a2cfb330eebced6f83ce3b1b801181be,2020-03-16 14:55:00,-23.428527832031,-46.496658325195,1.0,14.0
ad6022f5275d2b686adfbd844eea78da,2020-03-16 14:55:00,-23.514678955078,-46.503349304199,1.0,14.0
f32f1b210fc6036ebb5ba2f98e65887f,2020-03-16 14:55:00,-23.488567352294,-46.559482574462,1.0,14.0
0daaac542ee7f6ecf64077314985dc23,2020-03-16 14:55:00,-23.479907989501,-46.532115936279,1.0,14.0
c4bca428211c2b48b81fd3b12afd2aa1,2020-03-16 14:55:00,-23.482242584228,-46.463733673095,1.0,14.0
561697da315d176915fa430db666cd2a,2020-03-16 14:55:00,-23.476858139038,-46.56974029541,1.0,14.0
6cd60311b5c2dbd4b1078de471af563a,2020-03-16 14:55:00,-23.491710662841,-46.503452301025,1.0,14.0
9a1dae54fa8a7ae6c9949bc6f2373fc0,2020-03-16 14:55:00,-23.449520111083,-46.546127319335,1.0,14.0
120b3d64e4c26c0c457ea26dcc34727c,2020-03-16 14:55:00,-23.520557403564,-46.506114959716,1.0,14.0
625ae9004b525accfd2d2608726b033c,2020-03-16 14:55:00,-23.458665847778,-46.517925262451,1.0,14.0
3ae04cd9569705cc18fd51df7e870279,2020-03-16 14:55:00,-23.467882156372,-46.470901489257,1.0,14.0
a8cc9751488c085f7d197f4a524d0009,2020-03-16 14:55:00,-23.502979278564,-46.55617904663,1.0,14.0
ec54966a5dc00c33e99fb770c3703f6b,2020-03-16 14:55:00,-23.463424682617,-46.521366119384,1.0,14.0
2703d69a0f5745bbe6da23540f25bb58,2020-03-16 14:55:00,-23.451015472412,-46.535179138183,1.0,14.0
